Id,log_bike_count
0,0.5345034
1,1.6112694
2,2.1709974
3,1.0418341
4,1.0612229
5,1.1974922
6,0.95777553
7,0.8232083
8,0.6885241
9,0.6557247
10,0.84706706
11,1.2417413
12,1.281469
13,1.1245892
14,0.7191668
15,1.041522
16,0.93826437
17,0.61228645
18,0.91621405
19,0.8010074
20,1.2947209
21,0.78327817
22,0.55987406
23,0.59620166
24,0.7948523
25,1.5290575
26,0.13444975
27,1.97558
28,1.3105644
29,1.5371994
30,1.0360756
31,1.7848911
32,0.34616762
33,1.2082032
34,1.3500773
35,1.1049458
36,1.5317024
37,0.9497187
38,1.1600515
39,0.79948574
40,1.873479
41,1.1018537
42,1.4965036
43,1.4386928
44,0.38652676
45,1.6696624
46,1.4193554
47,1.627287
48,1.4349135
49,1.2645158
50,1.4565934
51,0.79555833
52,2.0028558
53,1.0925579
54,2.2239065
55,1.1523983
56,1.5714097
57,1.1374973
58,0.9209151
59,1.5473236
60,0.6841038
61,0.9447991
62,0.3131291
63,0.9135545
64,0.42168242
65,0.46987477
66,1.3661163
67,0.42955047
68,1.3959751
69,1.5453088
70,1.2932516
71,2.1034777
72,1.4651386
73,1.2225206
74,1.4884945
75,1.3660513
76,1.059968
77,1.4450151
78,0.4702002
79,1.4655452
80,1.9951019
81,1.6391672
82,1.4678859
83,0.6616629
84,2.2106156
85,0.27126637
86,1.5272826
87,0.23997885
88,0.42452875
89,0.590914
90,0.38639364
91,0.5505898
92,1.7229935
93,2.1892128
94,1.6402528
95,1.5735183
96,1.1410892
97,2.104435
98,1.1781946
99,2.2405033
100,1.2575544
101,1.6430376
102,1.3943334
103,1.0502883
104,1.8466761
105,1.4814317
106,0.51770437
107,2.1395142
108,0.31723872
109,0.76244354
110,0.5499263
111,0.30673993
112,0.5635895
113,0.26590917
114,0.6663267
115,0.4417536
116,1.0935541
117,2.0692534
118,1.3245237
119,2.0207694
120,1.1291704
121,1.2311872
122,0.7339652
123,1.4119517
124,0.276279
125,1.4332374
126,0.69798815
127,1.6302153
128,0.83736587
129,1.0306784
130,0.95828897
131,0.24160647
132,0.3468972
133,0.20738076
134,-0.18948407
135,2.0528529
136,-0.24330334
137,1.4515951
138,0.03825769
139,1.4286332
140,1.8080089
141,0.90604085
142,1.0135572
143,0.91784704
144,1.9176189
145,0.6627729
146,1.2978748
147,0.302814
148,0.4149491
149,0.2164597
150,1.2961597
151,0.40803605
152,2.0092633
153,1.2959989
154,1.3600949
155,1.4543424
156,1.337133
157,0.9087881
158,1.5131814
159,0.92059433
160,2.0086913
161,0.46975303
162,1.4287254
163,0.15906784
164,0.881952
165,0.13370766
166,0.11898761
167,0.38717815
168,1.2323967
169,1.1385745
170,1.2663556
171,1.7443373
172,1.2868857
173,1.8367803
174,1.8939177
175,0.81555194
176,0.81502
177,1.3597559
178,1.064154
179,1.2311422
180,0.81296754
181,0.9810304
182,0.48800126
183,0.35288543
184,0.06234228
185,0.32091248
186,0.014265687
187,0.53712195
188,0.510745
189,0.99916387
190,1.9897316
191,0.9352265
192,1.3661201
193,0.97317326
194,1.3195003
195,1.2999384
196,2.0613058
197,0.7903435
198,2.0635421
199,0.48224768
200,1.0018963
201,1.1281508
202,1.0221597
203,1.1568437
204,0.18488994
205,1.0448138
206,0.41009846
207,0.6134027
208,0.45711544
209,0.4354941
210,1.2653289
211,0.83218133
212,1.4045858
213,0.95256186
214,1.4609838
215,1.2063924
216,1.5975666
217,-0.31696364
218,1.9800868
219,1.7837132
220,1.4898323
221,1.0327618
222,1.1105156
223,1.1851964
224,0.5573664
225,1.6986773
226,0.6690596
227,1.9217824
228,0.6548038
229,-0.07928594
230,0.8461463
231,-0.12736255
232,1.1472656
233,0.16970886
234,1.3205618
235,0.40088847
236,0.7230786
237,1.96827
238,0.53442943
239,1.3558724
240,0.99844956
241,1.3764025
242,0.99683416
243,0.5248352
244,1.1170189
245,0.47109148
246,1.110058
247,0.06129193
248,0.8213565
249,-0.13000715
250,0.49764144
251,1.1479974
252,0.50009185
253,1.8201076
254,-0.1176239
255,1.7736691
256,-0.25011417
257,0.2886117
258,0.102205314
259,2.0307252
260,0.32471296
261,1.4249824
262,1.2408929
263,1.4020206
264,1.9115034
265,1.4565096
266,1.141347
267,0.69569594
268,1.0712813
269,1.2733456
270,1.1691791
271,0.8396498
272,1.3241602
273,0.3461536
274,2.1091056
275,0.15952979
276,0.9362102
277,1.209296
278,-0.01669361
279,1.7853237
280,-0.06477023
281,1.310518
282,1.3869898
283,1.9855405
284,2.0393603
285,0.65255094
286,1.3872566
287,0.39254737
288,1.4069484
289,0.3539988
290,0.93730867
291,0.63448787
292,0.5367463
293,1.1490464
294,0.12087939
295,1.1869932
296,0.018812686
297,1.3071777
298,0.44981775
299,1.5381472
300,2.0045924
301,1.4957719
302,1.37811
303,1.0318605
304,1.4146154
305,1.1304369
306,1.4351455
307,0.99093246
308,1.5717281
309,0.94441473
310,1.9217322
311,0.30659908
312,2.0397444
313,0.28098354
314,0.025537783
315,1.0984921
316,0.48189417
317,1.3708495
318,1.3285825
319,1.0420972
320,2.036669
321,0.63193804
322,1.9956756
323,-0.17645392
324,1.4331481
325,1.2246662
326,1.4672217
327,1.3036301
328,1.9538084
329,1.8374448
330,2.0836015
331,0.38459623
332,0.7209327
333,2.0950763
334,1.0614822
335,1.5435313
336,0.25604454
337,1.9008265
338,1.3054596
339,2.0390406
340,1.423976
341,1.487759
342,1.4980459
343,0.9091147
344,2.0321467
345,0.56153023
346,0.7368189
347,1.1964177
348,0.72620505
349,-0.029263904
350,1.0556853
351,1.2965064
352,1.2003556
353,2.051525
354,1.3205401
355,1.4909778
356,0.7198854
357,0.66058993
358,0.570211
359,0.07361437
360,0.2483303
361,1.3254446
362,0.7482661
363,1.4101863
364,0.68639755
365,1.4466916
366,0.92334265
